product_id,_id,primary_hex,primary_pct,secondary_hex,secondary_pct,coverage,color_label,decided_at
"10379",68b904d598e1ae0d4dda68a9,#8c695d,34.8,#992432,15.7,50.4,multi color,2025-09-11T22:57:03.589Z
"10437",68b904d598e1ae0d4dda68d8,#624a3b,35.2,#8a7a6c,15.9,51.1,multi color,2025-09-11T22:57:05.457Z
"16600",68b904d598e1ae0d4dda6907,,,,,,ERROR:Response code 400 (Bad Request),2025-09-11T22:57:05.590Z
"10379",68b904d598e1ae0d4dda68a9,#8c695d,34.8,#992432,15.7,50.4,multi color,2025-09-11T22:59:55.805Z
"10437",68b904d598e1ae0d4dda68d8,#624a3b,35.2,#8a7a6c,15.9,51.1,multi color,2025-09-11T22:59:57.577Z
"16600",68b904d598e1ae0d4dda6907,,,,,,ERROR:Response code 400 (Bad Request),2025-09-11T22:59:57.699Z
