product_id,order,isPrimary,alt,url
10237,3,false,10237.0,https://drive.google.com/uc?export=view&id=1Ul1jYBn5Bt50tus1Ncijd2ITFJAf7Kbg
10237,4,false,10237.0,https://drive.google.com/uc?export=view&id=1F-638IpBAZQN5_trcfCDszF-MONDKM0I
10237,5,false,10237.0,https://drive.google.com/uc?export=view&id=1op36Pq_pTXbvABPgdeMFUl5EZRag1EqT
10238,1,true,10238.0,https://drive.google.com/uc?export=view&id=1pjc3aHzlb9sRsGzHV5uZPSmTZihG8jAM
10238,2,false,10238.0,https://drive.google.com/uc?export=view&id=1kP0YRzl775qPvHQ7EZnjdLRzLEvSG9W9
10238,3,false,10238.0,https://drive.google.com/uc?export=view&id=1krkmxWkVzfTgh_6a5R5JKVf6dn4Z3nZ4
10238,4,false,10238.0,https://drive.google.com/uc?export=view&id=1Tu4gEsbP7WkqoDszSdnmJMMJHYYKo2om
10238,5,false,10238.0,https://drive.google.com/uc?export=view&id=1tWcY8-hJQUy8vV7Lsvn8YLTSAz2oWF9w
10239,1,true,10239.0,https://drive.google.com/uc?export=view&id=1krnVyilmzASrVmDWmF-BCtkVAn_f9dQM
10239,2,false,10239.0,https://drive.google.com/uc?export=view&id=1-wx6EsBKleDHg5dWF4fAJMP8d1R0tZye
10239,3,false,10239.0,https://drive.google.com/uc?export=view&id=18ZXAh3a94ghc3AoVt57krNsCL2NnFCq5
10239,4,false,10239.0,https://drive.google.com/uc?export=view&id=1RFSGKaWq6hC-hpZdIL77is9o_zjD2OTn
10239,5,false,10239.0,https://drive.google.com/uc?export=view&id=1bngpChQD-eA4Sswe8096AGTN03iIWBGJ
10241,1,true,10241.0,https://drive.google.com/uc?export=view&id=1l-ih8Ty5fkUeyem-SIWCpYjn6CUAot7p
10241,2,false,10241.0,https://drive.google.com/uc?export=view&id=1RVFtn6t1RB1mgote1XU7LOkBxAqo11I0
10241,3,false,10241.0,https://drive.google.com/uc?export=view&id=1AK0NtwiA0KWboO9gD2Js3eQl7ikwxvoy
10241,4,false,10241.0,https://drive.google.com/uc?export=view&id=1X29PK_yXq-XHI_khuWeKilAWMjj_1Py_
