product_id,title,price,sale_price,availability,material,color,color_hex,size_text,origin,age_group,pattern,images,status,visibility,price_visible,category
test-utf8,"Test Rug UTF8",100,90,in stock,wool,"Beige|Red","#cbb79c|#7a1f2b","170x240","Anatolia",adult,"geometric","https://example.com/1.jpg active",active,public,true,
10002,"Anatolian Rug",329,299,in stock,100% wool,"Beige|Burgundy","#cbb79c|#7a1f2b","170x240 cm","Anatolia",adult,"Traditional, Vintage","https://drive.usercontent.google.com/download?id=1JrGeVxJI15MDNOai82tpr0PARlxMFR9T&export=view",active,public,true,
test-123,"Smoke Test Rug",123.45,,in stock,,"","","","",,"","https://example.com/i.jpg",active,public,true,
10423,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9a7d65|#cda98a","#9a7d65|#cda98a","7' 7'' X 11' 8''","",,"","https://drive.usercontent.google.com/download?id=1JDQnT2a9qMVSJGjLKeS_1GU2jV-dCSAI&export=view",active,public,true,
10182,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6d5443|#8e8569","#6d5443|#8e8569","6' 4'' X  9' 4''","",,"","https://drive.usercontent.google.com/download?id=1RBuTZ9Z2vtcvrRtJN9H5Vht_63E5ENsZ&export=view",active,public,true,
10377,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a77969|#67574e","#a77969|#67574e","4' 1'' X  5' 7''","",,"","https://drive.usercontent.google.com/download?id=15S5mzGx27kK7rvB3vE-OX0r9VpG7m6rK&export=view",active,public,true,
10239,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#705c45|#ae826b","#705c45|#ae826b","6' 6'' X  9' 9''","",,"","https://drive.usercontent.google.com/download?id=1krnVyilmzASrVmDWmF-BCtkVAn_f9dQM&export=view",active,public,true,
10089,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#715843|#a48a6b","#715843|#a48a6b","6' 6'' X  9' 9''","",,"","https://drive.usercontent.google.com/download?id=1yUHbS1rbkUVCjYDYENJDEPaHxclZhiZ9&export=view",active,public,true,
10036,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#816345|#562a21","#816345|#562a21","6' 4'' X  9' 7''","",,"","https://drive.usercontent.google.com/download?id=1sqduI95iLypbBi0EzDuMi5R6bFui1hcx&export=view",active,public,true,
10427,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#64423b|#8f6258","#64423b|#8f6258","11' 0'' X 15' 8''","",,"","https://drive.usercontent.google.com/download?id=17WvkbskHA1a9p2MFe_8iV-fcSXMSRET9&export=view",active,public,true,
10168,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#54332d|#1f1f20","#54332d|#1f1f20","6' 9'' X  9' 5''","",,"","https://drive.usercontent.google.com/download?id=1dbwT2tJBTeiL9sISH38EkVP6Alg01Vyb&export=view",active,public,true,
10270,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#65302f|#886753","#65302f|#886753","4'10'' X  7' 3''","",,"","https://drive.usercontent.google.com/download?id=1W_Xxlbaf0AGbdSC2X-13eLZhPXkemkrH&export=view",active,public,true,
10320,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#966253|#b09581","#966253|#b09581","3' 7'' X  6' 0''","",,"","https://drive.usercontent.google.com/download?id=1MgH4jncC13nuq8p_n8yT_C3gDFsqgsfL&export=view",active,public,true,
10276,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#947869|#d3c5ae","#947869|#d3c5ae","4'11'' X  7' 0''","",,"","https://drive.usercontent.google.com/download?id=1OiOcnh-A14q98BwcUnW0QPmiXHbGRhDu&export=view",active,public,true,
10328,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#966d51|#d39967","#966d51|#d39967","3' 4'' X  6' 1''","",,"","https://drive.usercontent.google.com/download?id=1Ni-sFkz1r7nE4QjH4bTcUgZDzZ-YIRUa&export=view",active,public,true,
10181,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644a39|#947b5f","#644a39|#947b5f","6' 7'' X  9' 6''","",,"","https://drive.usercontent.google.com/download?id=1GfwqHZIzIKxaefZ399PCoJ63dUbRrRXu&export=view",active,public,true,
10069,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6c554a|#4e2928","#6c554a|#4e2928","6' 7'' X  9' 7''","",,"","https://drive.usercontent.google.com/download?id=15j65GXn3nzgeUiTZ1JaTm82m3eMGDXm9&export=view",active,public,true,
10101,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#937e66|#735142","#937e66|#735142","6' 5'' X  9' 8''","",,"","https://drive.usercontent.google.com/download?id=18Jz1tDB3BU5hluur-Hif6K5l_KICv40y&export=view",active,public,true,
