sku,image,color,origin,size,description,color1,color2,color3,error
10130,https://drive.google.com/uc?export=view&id=1a147Ir9jkH7pnpUonelzfYbcdg8ouRHz,#ffffff;#ad846b;#a57363,,,Color: #ffffff;#ad846b;#a57363,#ffffff,#ad846b,#a57363,
10131,https://drive.google.com/uc?export=view&id=1PuLwzUMbmd-ZVIjVCDapkwqOPx8znmAK,#ffffff;#8c7363;#947b6b,,,Color: #ffffff;#8c7363;#947b6b,#ffffff,#8c7363,#947b6b,
10132,https://drive.google.com/uc?export=view&id=1tgAmiMiV8qxS1VDuRSDq4wehh7sANXXD,#7b5a4a;#734a3a;#7b5242,,,Color: #7b5a4a;#734a3a;#7b5242,#7b5a4a,#734a3a,#7b5242,
10133,https://drive.google.com/uc?export=view&id=1-BTJkjS8AC3eyLyaADtD6_g82Ymhw-yk,#845a42;#7b5a42;#84634a,,,Color: #845a42;#7b5a42;#84634a,#845a42,#7b5a42,#84634a,
10134,https://drive.google.com/uc?export=view&id=11wtro9IOnAuyyWp20zE-Pw4LZe69IOdc,#ffffff;#948473;#8c7b6b,,,Color: #ffffff;#948473;#8c7b6b,#ffffff,#948473,#8c7b6b,
10135,https://drive.google.com/uc?export=view&id=1wSvUvdTnmUYDYrIdvwPvtvjRqNaNbrRZ,#ffffff;#9c846b;#947b63,,,Color: #ffffff;#9c846b;#947b63,#ffffff,#9c846b,#947b63,
10136,,,,,,,,,no-image
10137,https://drive.google.com/uc?export=view&id=1s5US-ua_tEOlSk8S9iCCtbkBMlX7lmh7,#ffffff;#845a42;#7b5a42,,,Color: #ffffff;#845a42;#7b5a42,#ffffff,#845a42,#7b5a42,
10138,,,,,,,,,no-image
10139,https://drive.google.com/uc?export=view&id=1wqIHh7kKiGy70skY-nOUHMKNbzKHEdeu,#ffffff;#63524a;#6b5a52,,,Color: #ffffff;#63524a;#6b5a52,#ffffff,#63524a,#6b5a52,
10140,https://drive.google.com/uc?export=view&id=1FJzdf1ij7Y-9MGnPpTRKx-Wx29RL98r2,#8c735a;#846b52;#94735a,,,Color: #8c735a;#846b52;#94735a,#8c735a,#846b52,#94735a,
10141,https://drive.google.com/uc?export=view&id=1yXkcooLPySJp0ftKheuiLI92aeAvjw80,#ffffff;#b58c73;#a57b63,,,Color: #ffffff;#b58c73;#a57b63,#ffffff,#b58c73,#a57b63,
10142,https://drive.google.com/uc?export=view&id=1AzxJPpE7e47CEgem7UuC9k3I5INXyfFO,#ffffff;#5a5242;#635a4a,,,Color: #ffffff;#5a5242;#635a4a,#ffffff,#5a5242,#635a4a,
10143,https://drive.google.com/uc?export=view&id=1yw6P3YqodFM5q0tOR8VPcfC_88oQAxhc,#7b6352;#735a4a;#7b634a,,,Color: #7b6352;#735a4a;#7b634a,#7b6352,#735a4a,#7b634a,
10144,,,,,,,,,no-image
10145,https://drive.google.com/uc?export=view&id=1cQ9kbOdfC1RFPE2z4k7TrGORm1nmgO12,#ffffff;#846b5a;#7b6352,,,Color: #ffffff;#846b5a;#7b6352,#ffffff,#846b5a,#7b6352,
10146,https://drive.google.com/uc?export=view&id=1uVwgTxC8LmJAeoDJFHedXnP3IG0iSAki,#8c735a;#846b52;#947b63,,,Color: #8c735a;#846b52;#947b63,#8c735a,#846b52,#947b63,
10147,https://drive.google.com/uc?export=view&id=1TsmB8SLB8siCqCZziNpFnZ_zn1rs7h33,#ffffff;#846b5a;#7b6352,,,Color: #ffffff;#846b5a;#7b6352,#ffffff,#846b5a,#7b6352,
10148,https://drive.google.com/uc?export=view&id=1LfXBCHe4gJZ4b4oAiJn4FVzNAr9x8izw,#ffffff;#5a4231;#634a3a,,,Color: #ffffff;#5a4231;#634a3a,#ffffff,#5a4231,#634a3a,
10149,,,,,,,,,no-image
10150,https://drive.google.com/uc?export=view&id=1nJYCKKO8-2cMLsi3B8SGT30P6CBbICJL,#ffffff;#944a4a;#8c4a4a,,,Color: #ffffff;#944a4a;#8c4a4a,#ffffff,#944a4a,#8c4a4a,
10151,https://drive.google.com/uc?export=view&id=1UQ1kADjXtBbjzF111Sjeq9P9FW2BEsSU,#ffffff;#63423a;#6b4a42,,,Color: #ffffff;#63423a;#6b4a42,#ffffff,#63423a,#6b4a42,
