sku,color1,color2,color3,image,error
10309,#ffffff,#947363,#ad8c73,"https://drive.google.com/uc?export=view&id=1XTm0ejD1EbwFWbdyFi2B89mFYAuB0fM9",
10310,,,,,"no-image"
10311,#ffffff,#634a42,#6b524a,"https://drive.google.com/uc?export=view&id=1dEOoMBLXJzgYqys3pBGg0OqmdK88m27b",
10312,,,,,"no-image"
10313,#ffffff,#a59484,#a58c7b,"https://drive.google.com/uc?export=view&id=1VzhVRsWbWpg-Haxr85uhDs0UCb5qmpf_",
10314,#ffffff,#a58c7b,#9c8473,"https://drive.google.com/uc?export=view&id=1S-gZYHg-rSNElcT1l46_ghORqUAA1ZWB",
10315,#ffffff,#a58c84,#ad8c84,"https://drive.google.com/uc?export=view&id=1P2G_lrnyw8StBrNqP3XsFyMTGmevfY4-",
10316,,,,,"no-image"
10317,#94735a,#9c7b63,#946b52,"https://drive.google.com/uc?export=view&id=1a-lcPOWjVTyihYHKaF4Vx-13dmbKT1iD",
10318,#ffffff,#8c847b,#94847b,"https://drive.google.com/uc?export=view&id=1S0I7mgBiI3SCxBCUcUTJF5GjjVFj9tDe",
10319,,,,,"no-image"
10320,#ffffff,#947b73,#9c8473,"https://drive.google.com/uc?export=view&id=1MgH4jncC13nuq8p_n8yT_C3gDFsqgsfL",
10321,#ffffff,#7b6352,#735a4a,"https://drive.google.com/uc?export=view&id=1JWCnPTy_ZFNSE2zPbuLZHLlxPWkB42Ka",
10322,,,,,"no-image"
10323,#ffffff,#8c6b5a,#846352,"https://drive.google.com/uc?export=view&id=11g1mrkhrwGdykTOD8hapFcKepz1KsI8o",
10324,,,,,"no-image"
10325,#ffffff,#844a4a,#845252,"https://drive.google.com/uc?export=view&id=1CUsvg0cHowpka2Yupt-fTwSWm8Zy1LgX",
10326,,,,,"no-image"
10327,#ffffff,#ad8c84,#b58c84,"https://drive.google.com/uc?export=view&id=1WoQ9JisGs9RihFmwDVbm5J3ZcebJKVGb",
10328,#ffffff,#84634a,#9c7b5a,"https://drive.google.com/uc?export=view&id=1Ni-sFkz1r7nE4QjH4bTcUgZDzZ-YIRUa",
10329,#ffffff,#ad947b,#efe6d6,"https://drive.google.com/uc?export=view&id=1lwpuKHTArxuYwEodswxHzFEQC-F1VJIs",
10330,,,,,"no-image"
10331,#ffffff,#843a21,#8c634a,"https://drive.google.com/uc?export=view&id=1fcT8S7RjSdjmqA_yYAYwLrd_jFrdVcNP",
10332,#ffffff,#845252,#8c5252,"https://drive.google.com/uc?export=view&id=17dsBf2tjQINSG_taYxFRwW23wdIGNyqR",
10333,#ffffff,#a58473,#8c736b,"https://drive.google.com/uc?export=view&id=1CeZYLQjHhGvsdYU_lA9SkCnT3UtCm9RU",
10334,,,,,"no-image"
10335,,,,,"no-image"
10336,,,,,"no-image"
10337,,,,,"no-image"
10338,,,,,"no-image"
10339,,,,,"no-image"
10340,#ffffff,#8c7b73,#84736b,"https://drive.google.com/uc?export=view&id=14-4mcGSxZqBPZ5lMbHztLb1kttu5gSK9",
10341,#ffffff,#ad8c6b,#7b6352,"https://drive.google.com/uc?export=view&id=1WxV5i0jt8ZuMAGeAby7gBt2-5ApdjoHP",
10342,#ffffff,#8c7363,#947b6b,"https://drive.google.com/uc?export=view&id=1GoU08cQ5NbwO52dC-aQAKpXmUw3Pfjmx",
10343,,,,,"no-image"
10344,,,,,"no-image"
10345,#ffffff,#ad847b,#ad8c7b,"https://drive.google.com/uc?export=view&id=1vGQN2GpdZxRvRMA2RJ4eMUuqG2nwOSxP",
10346,#ffffff,#947363,#8c6b5a,"https://drive.google.com/uc?export=view&id=1YhS4kJ0IO5SXzFR2W9Pl14AaZrndN_LV",
10347,#ffffff,#a51919,#ad2119,"https://drive.google.com/uc?export=view&id=1BBUavBylBG5Ry9Vr_AslkcnL-BnX7QBZ",
10348,,,,,"no-image"
10349,#ffffff,#9c7363,#946b5a,"https://drive.google.com/uc?export=view&id=1PxebpW4zAGOxfu_i_520g98ObS2OcvQg",
10350,#ffffff,#ad635a,#ad5a52,"https://drive.google.com/uc?export=view&id=1eQ-AF0vZOIYJ_WvGSJbo2fiv4uXUJbE4",
10351,#ffffff,#7b6b63,#84736b,"https://drive.google.com/uc?export=view&id=1xKuGtoUVf4ZEw325lbY3CuTohSIR1MOa",
10352,,,,,"no-image"
10353,,,,,"no-image"
10354,#ffffff,#9c8c84,#94847b,"https://drive.google.com/uc?export=view&id=16jBeVOjYFM63bYxlbybfV2HA0c91LpR1",
10355,#101010,#8c736b,#080808,"https://drive.google.com/uc?export=view&id=1MlycpiCgWjad79DRQFiC-nAUnWH6sMOQ",
10356,#ffffff,#ad8473,#a57b6b,"https://drive.google.com/uc?export=view&id=1IpKtyt_9ds0bZN2nUjcEY8v15V2vt7bj",
10357,#ffffff,#94847b,#8c7b73,"https://drive.google.com/uc?export=view&id=18PhhwV-mgyr5dPcEjcL1pFi9RntyS7RD",
10358,#948473,#9c8c7b,#8c7b6b,"https://drive.google.com/uc?export=view&id=1h-Zl3jgUvCvLQZ_ioR6grcz8XiBuj6xK",
10359,#ffffff,#8c6b52,#946b52,"https://drive.google.com/uc?export=view&id=1NosEOG5isnhyBgWe4S5sXoNU8XnVXpnW",
10360,,,,,"no-image"
10361,,,,,"no-image"
10362,,,,,"no-image"
10363,#ffffff,#ad8c6b,#a58463,"https://drive.google.com/uc?export=view&id=18FEHXDlSrxLw778orVlrZQtKrvIURQtg",
10364,#8c7b6b,#947b6b,#846b63,"https://drive.google.com/uc?export=view&id=1k6xlMUliTsQF6Ewm0_xkYsPVWrgcyAdl",
10365,,,,,"no-image"
10366,,,,,"no-image"
10367,#ffffff,#8c634a,#845a4a,"https://drive.google.com/uc?export=view&id=1KmOKyxHGaTbfV7tFSCBvq2iHc6upALwr",
10368,,,,,"no-image"
